epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,75.873,0.67318,0.98348,0.81598,0.96844,0.96723,1,0.995,0.7705,0.96723,1,0.995,0.82808,0.91492,1.34611,0.67441,1.19228,0.001406,0.001406,0.001406
32,77.8628,0.68678,1.02684,0.78553,0.95275,1,0.99194,0.995,0.79048,1,0.99194,0.995,0.81791,0.75591,1.38632,0.65901,0.9815,0.0013862,0.0013862,0.0013862
33,79.8149,0.6403,0.9813,0.71912,0.96385,0.89545,1,0.98591,0.76255,0.89545,1,0.98591,0.79672,0.75149,1.35376,0.67085,0.98301,0.0013664,0.0013664,0.0013664
34,81.7614,0.65446,1.01649,0.71621,0.96532,0.98962,1,0.995,0.79137,0.98962,1,0.995,0.84011,0.7641,1.29307,0.60106,1.00116,0.0013466,0.0013466,0.0013466
35,83.7799,0.61634,0.99712,0.70474,0.93418,0.99824,1,0.995,0.79234,0.99824,1,0.995,0.73411,0.7752,1.86427,0.58829,0.97061,0.0013268,0.0013268,0.0013268
36,85.7239,0.61302,0.9986,0.70571,0.9572,0.99477,1,0.995,0.83379,0.99477,1,0.995,0.65535,0.63147,2.6934,0.50365,0.87871,0.001307,0.001307,0.001307
37,87.6586,0.5909,0.97042,0.70189,0.94098,0.99478,1,0.995,0.81454,0.99478,1,0.995,0.69182,0.6912,2.73819,0.51407,0.90691,0.0012872,0.0012872,0.0012872
38,89.606,0.59349,0.94606,0.65506,0.92669,0.99512,1,0.995,0.84783,0.99512,1,0.995,0.77428,0.68852,1.6843,0.56619,0.96145,0.0012674,0.0012674,0.0012674
39,91.548,0.63055,0.99429,0.717,0.93607,0.90437,1,0.98591,0.80731,0.90437,1,0.98591,0.78282,0.73206,1.55025,0.69547,0.99334,0.0012476,0.0012476,0.0012476
40,93.4925,0.57992,0.89703,0.64589,0.94793,0.9916,1,0.995,0.83341,0.9916,1,0.995,0.85257,0.69979,1.35685,0.49386,0.95294,0.0012278,0.0012278,0.0012278
41,95.4528,0.60079,0.89513,0.62523,0.9547,0.99248,1,0.995,0.82004,0.99248,1,0.995,0.84898,0.69443,1.35099,0.50303,0.9738,0.001208,0.001208,0.001208
42,97.3956,0.58493,0.90401,0.62143,0.95552,0.9931,1,0.995,0.7973,0.9931,1,0.995,0.80786,0.74977,1.34695,0.53724,1.05613,0.0011882,0.0011882,0.0011882
43,99.3553,0.64995,1.08585,0.66272,0.96981,0.9898,1,0.995,0.80231,0.9898,1,0.995,0.79097,0.74164,1.40039,0.53297,1.00195,0.0011684,0.0011684,0.0011684
44,101.37,0.66543,0.94659,0.70225,0.98906,0.98996,1,0.995,0.80503,0.98996,1,0.995,0.83242,0.80977,1.28086,0.55013,1.02991,0.0011486,0.0011486,0.0011486
45,103.288,0.56412,0.90439,0.5752,0.93948,0.99294,1,0.995,0.8117,0.99294,1,0.995,0.85686,0.87592,1.2448,0.5704,1.10495,0.0011288,0.0011288,0.0011288
46,105.232,0.58329,0.91234,0.57159,0.94397,0.99243,1,0.995,0.77011,0.99243,1,0.995,0.8308,0.95466,1.36836,0.57607,1.22525,0.001109,0.001109,0.001109
47,107.182,0.60703,0.92331,0.61421,0.95252,0.97842,1,0.995,0.7799,0.97842,1,0.995,0.83785,0.8539,1.08985,0.65097,1.20094,0.0010892,0.0010892,0.0010892
48,109.13,0.58266,0.88285,0.57291,0.91473,0.81317,0.9,0.88616,0.75003,0.81317,0.9,0.88616,0.70429,0.67128,1.87391,1.19806,0.95032,0.0010694,0.0010694,0.0010694
49,111.067,0.56313,0.97446,0.63053,0.93325,1,0.89294,0.92203,0.77967,1,0.89294,0.92203,0.67618,0.73015,2.19638,0.74988,0.98984,0.0010496,0.0010496,0.0010496
50,113.001,0.56865,0.88054,0.58105,0.902,0.99339,1,0.995,0.84097,0.99339,1,0.995,0.82763,0.71408,1.43773,0.44168,1.03112,0.0010298,0.0010298,0.0010298
